Accident_ID,Date,District,Location,Time,Vehicle_Type,Road_Type,Weather,Cause,Persons_Involved,Injured,Fatalities,Gender,Age,Helmet_Seatbelt,Police_Case,Damage_Cost (₹),Latitude,Longitude
TN-2023-00055,22-02-2023,Madurai,Location_4,18:03,Bus,NH,Clear,Poor road,1,1,0,Male,44,Yes,Yes,403217,9.569148822,78.39362455
TN-2023-00056,06-12-2023,Tirunelveli,Location_86,19:57,Lorry,NH,Fog,Over speed,3,0,0,Male,49,No,Yes,483389,10.11095368,78.18012226
TN-2023-00057,02-04-2023,Thoothukudi,Location_90,08:15,Bus,Urban Street,Sunny,Reckless driving,5,1,1,Male,42,No,Yes,336383,10.56926086,79.85334828
TN-2023-00058,21-09-2023,Madurai,Location_96,05:24,Car,Rural Road,Cloudy,Drunk drive,4,0,0,Female,59,Yes,Yes,479417,11.28673413,79.15329598
TN-2023-00059,04-02-2023,Coimbatore,Location_88,03:40,Two Wheeler,NH,Clear,Brake failure,2,2,1,Male,51,Yes,Yes,37880,8.718849335,77.98475434
TN-2023-00060,25-07-2023,Tirunelveli,Location_99,12:40,Bus,SH,Clear,Poor road,1,1,0,Male,32,Yes,Yes,161589,12.20185587,80.03052199
TN-2023-00061,22-03-2023,Tirunelveli,Location_37,05:52,Car,Rural Road,Sunny,Poor road,5,2,0,Male,58,Yes,Yes,268486,11.74314177,79.98641229
TN-2023-00062,19-02-2023,Trichy,Location_96,18:13,Two Wheeler,NH,Sunny,Over speed,2,3,0,Male,51,Yes,Yes,366904,9.643223174,76.11129325
TN-2023-00063,26-12-2023,Thoothukudi,Location_71,20:14,Lorry,Urban Street,Fog,Over speed,5,1,0,Male,52,Yes,Yes,169605,10.52639168,79.91958361
TN-2023-00064,02-01-2023,Vellore,Location_33,02:36,Bus,SH,Sunny,Over speed,2,1,1,Male,37,Yes,Yes,484462,13.2081094,78.3696341
TN-2023-00065,23-02-2023,Chennai,Location_31,20:49,Truck,NH,Rain,Reckless driving,5,1,0,Male,41,No,Yes,444775,8.112625602,79.77532375
TN-2023-00066,16-04-2023,Chennai,Location_55,13:15,Two Wheeler,SH,Cloudy,Poor road,4,0,0,Male,51,No,Yes,119078,12.46243379,76.81595618
TN-2023-00067,17-09-2023,Salem,Location_12,13:08,Car,Rural Road,Rain,Over speed,5,3,0,Male,51,Yes,Yes,94022,10.81448588,76.67992984
TN-2023-00068,06-11-2023,Erode,Location_11,14:06,Two Wheeler,NH,Rain,Weather,5,3,0,Male,63,Yes,Yes,114703,11.40346871,79.24991416
TN-2023-00069,10-07-2023,Madurai,Location_88,13:05,Auto Rickshaw,Urban Street,Rain,Reckless driving,1,3,0,Female,44,No,Yes,181639,11.76492908,77.23910963
TN-2023-00070,06-08-2023,Thoothukudi,Location_72,20:14,Two Wheeler,SH,Clear,Reckless driving,1,2,0,Male,38,Yes,Yes,398895,10.50811104,78.51478248
TN-2023-00071,13-02-2023,Tiruppur,Location_32,19:07,Bus,NH,Rain,Weather,1,3,0,Male,50,No,Yes,44867,9.05522781,79.09966992
TN-2023-00072,11-06-2023,Erode,Location_57,01:39,Lorry,Rural Road,Clear,Weather,5,0,0,Male,56,Yes,No,477754,13.00274811,78.74683379
TN-2023-00073,21-07-2023,Trichy,Location_38,00:31,Two Wheeler,Rural Road,Sunny,Reckless driving,4,0,1,Male,57,Yes,Yes,183052,12.07104916,79.14534463
TN-2023-00074,27-09-2023,Tirunelveli,Location_60,16:50,Truck,NH,Cloudy,Poor road,2,2,0,Female,61,Yes,Yes,326950,11.07774334,78.79160777
TN-2023-00075,17-12-2023,Vellore,Location_86,04:29,Auto Rickshaw,Rural Road,Cloudy,Over speed,1,2,0,Male,53,No,Yes,256782,10.46651014,77.70607614
TN-2023-00076,31-10-2023,Thoothukudi,Location_98,21:19,Two Wheeler,SH,Rain,Drunk drive,3,3,2,Male,42,No,Yes,373381,10.74632396,76.40722487
TN-2023-00077,28-09-2023,Erode,Location_19,15:06,Two Wheeler,SH,Cloudy,Over speed,5,3,0,Male,24,Yes,Yes,239412,12.52946014,79.84905317
TN-2023-00078,03-08-2023,Erode,Location_84,06:49,Two Wheeler,SH,Clear,Poor road,4,0,0,Male,27,Yes,No,302006,8.068768738,79.80703699
TN-2023-00079,09-09-2023,Vellore,Location_56,17:01,Two Wheeler,SH,Sunny,Weather,4,0,0,Male,27,Yes,Yes,274453,12.75934247,76.02555578
TN-2023-00080,09-07-2023,Salem,Location_14,14:13,Auto Rickshaw,Rural Road,Rain,Poor road,1,3,0,Male,55,Yes,Yes,215712,8.257135852,79.78389474
TN-2023-00081,23-10-2023,Madurai,Location_33,17:40,Truck,NH,Fog,Over speed,1,0,0,Female,41,No,Yes,407516,11.38752187,76.67944963
TN-2023-00082,01-08-2023,Madurai,Location_10,13:04,Two Wheeler,Rural Road,Cloudy,Poor road,3,2,0,Female,61,Yes,Yes,384310,9.832174149,77.49788171
TN-2023-00083,27-07-2023,Erode,Location_80,10:39,Car,Rural Road,Cloudy,Drunk drive,3,0,0,Male,27,No,Yes,400356,11.73029954,77.86006889
TN-2023-00084,25-08-2023,Coimbatore,Location_64,04:28,Car,NH,Rain,Poor road,1,3,0,Male,62,No,Yes,221493,8.470486038,79.05833882
TN-2023-00085,04-12-2023,Erode,Location_64,10:04,Two Wheeler,NH,Cloudy,Brake failure,2,2,0,Male,43,Yes,Yes,409908,11.059279,76.41586968
TN-2023-00086,22-02-2023,Erode,Location_62,16:53,Two Wheeler,Urban Street,Cloudy,Poor road,1,0,0,Female,47,No,Yes,242726,12.7037882,79.71990515
TN-2023-00087,07-10-2023,Vellore,Location_68,03:14,Two Wheeler,SH,Fog,Over speed,1,2,0,Male,44,Yes,No,272827,10.72050823,80.24236504
TN-2023-00088,05-08-2023,Tirunelveli,Location_91,18:21,Car,NH,Clear,Brake failure,4,3,0,Male,61,Yes,No,79622,8.46390631,80.28713141
TN-2023-00089,09-09-2023,Vellore,Location_92,01:55,Bus,Rural Road,Rain,Weather,1,0,0,Female,36,Yes,Yes,129675,8.205581336,76.41327101
TN-2023-00090,07-07-2023,Thoothukudi,Location_43,16:11,Bus,SH,Rain,Over speed,1,3,0,Male,18,No,Yes,189437,11.41660742,80.13721114
TN-2023-00091,10-02-2023,Erode,Location_80,16:09,Two Wheeler,SH,Fog,Reckless driving,1,1,0,Male,50,Yes,Yes,183152,8.382418169,78.55523004
TN-2023-00092,06-06-2023,Madurai,Location_59,17:50,Lorry,Rural Road,Fog,Drunk drive,2,3,0,Female,28,No,Yes,258485,8.392088797,79.27117853
TN-2023-00093,15-01-2023,Tiruppur,Location_52,17:44,Bus,NH,Clear,Poor road,4,1,0,Male,51,No,Yes,205860,10.33991728,80.18768518
TN-2023-00094,28-10-2023,Madurai,Location_97,13:55,Auto Rickshaw,SH,Sunny,Poor road,5,2,0,Male,55,Yes,Yes,467256,9.152295752,78.97447955
TN-2023-00095,06-03-2023,Chennai,Location_19,15:49,Two Wheeler,SH,Rain,Over speed,5,2,0,Male,33,Yes,Yes,405576,9.123077418,78.05532751
TN-2023-00096,11-12-2023,Salem,Location_21,17:15,Auto Rickshaw,SH,Cloudy,Poor road,5,1,0,Male,18,Yes,Yes,16871,10.64536918,78.36300325
TN-2023-00097,23-11-2023,Trichy,Location_22,16:06,Auto Rickshaw,SH,Clear,Poor road,5,2,0,Male,58,No,Yes,103560,9.5444095,79.08026566
TN-2023-00098,09-01-2023,Thoothukudi,Location_9,11:33,Two Wheeler,SH,Rain,Weather,4,2,0,Male,45,Yes,No,6859,9.205965718,80.25114506
TN-2023-00099,10-12-2023,Thoothukudi,Location_9,09:04,Two Wheeler,Rural Road,Clear,Poor road,1,3,0,Male,32,Yes,Yes,187270,10.82927969,80.00413914
TN-2023-00100,09-05-2023,Salem,Location_73,20:02,Truck,NH,Sunny,Poor road,5,1,1,Male,33,No,Yes,376155,9.599860566,78.59680265
TN-2023-00101,16-05-2023,Tiruppur,Location_27,18:44,Bus,NH,Rain,Weather,1,0,0,Male,63,Yes,Yes,24130,8.441212394,76.94954621
TN-2023-00102,04-03-2023,Trichy,Location_17,11:34,Auto Rickshaw,SH,Cloudy,Reckless driving,5,2,0,Female,49,Yes,Yes,12399,11.75506489,77.56028106
TN-2023-00103,19-05-2023,Tirunelveli,Location_44,05:13,Lorry,SH,Rain,Poor road,2,2,0,Female,56,Yes,Yes,237189,11.22084411,77.62813374
TN-2023-00104,22-03-2023,Erode,Location_45,03:44,Car,SH,Clear,Reckless driving,1,0,0,Female,18,No,No,242988,9.166644265,77.30128315
TN-2023-00105,12-06-2023,Trichy,Location_8,18:17,Two Wheeler,Rural Road,Sunny,Weather,4,3,0,Male,26,Yes,Yes,331733,11.2023552,79.36035513
TN-2023-00106,16-10-2023,Tiruppur,Location_80,02:51,Two Wheeler,Rural Road,Clear,Drunk drive,2,3,0,Male,46,Yes,Yes,468225,13.25574314,79.76194421
TN-2023-00107,18-09-2023,Coimbatore,Location_18,05:15,Truck,Urban Street,Clear,Poor road,2,3,0,Male,42,Yes,Yes,90683,13.26063203,77.43923902
TN-2023-00108,19-08-2023,Chennai,Location_33,19:23,Two Wheeler,SH,Fog,Over speed,4,0,0,Male,28,Yes,No,51327,10.92568326,79.80756694
TN-2023-00109,10-02-2023,Trichy,Location_1,02:43,Two Wheeler,Urban Street,Clear,Brake failure,2,3,0,Male,59,Yes,Yes,363774,8.539163438,79.30496834
TN-2023-00110,28-01-2023,Trichy,Location_76,18:18,Bus,Urban Street,Sunny,Drunk drive,1,2,0,Male,28,No,Yes,312021,10.52002041,77.98502416
TN-2023-00111,15-05-2023,Chennai,Location_6,03:32,Bus,Urban Street,Cloudy,Poor road,3,3,0,Male,23,Yes,No,45693,8.14840861,79.14398363
TN-2023-00112,20-07-2023,Erode,Location_41,01:12,Two Wheeler,NH,Fog,Over speed,3,2,0,Male,51,No,Yes,312711,10.28360704,79.4620224
TN-2023-00113,24-11-2023,Trichy,Location_55,12:29,Two Wheeler,Urban Street,Clear,Brake failure,5,0,0,Male,61,No,Yes,220681,13.00180359,78.52463997
TN-2023-00114,25-09-2023,Chennai,Location_5,01:29,Car,SH,Rain,Weather,5,3,0,Male,31,No,Yes,268188,10.5709403,77.99401025
TN-2023-00115,02-02-2023,Chennai,Location_59,18:53,Two Wheeler,Rural Road,Fog,Poor road,1,3,0,Female,25,Yes,No,140964,11.02768059,76.45771501
TN-2023-00116,17-02-2023,Chennai,Location_80,15:43,Lorry,SH,Sunny,Reckless driving,4,2,0,Male,42,No,Yes,325587,8.869200764,76.00616352
TN-2023-00117,03-03-2023,Vellore,Location_18,00:40,Two Wheeler,Rural Road,Rain,Reckless driving,1,0,2,Male,21,Yes,Yes,198873,8.086078587,80.2176309
TN-2023-00118,04-08-2023,Tiruppur,Location_49,16:09,Auto Rickshaw,NH,Sunny,Weather,5,3,0,Female,48,Yes,Yes,331053,13.46361194,77.20368151
TN-2023-00119,20-10-2023,Vellore,Location_82,17:18,Lorry,NH,Rain,Drunk drive,2,0,0,Male,38,Yes,Yes,177008,9.860415018,78.98342809
TN-2023-00120,09-04-2023,Coimbatore,Location_65,06:56,Bus,SH,Cloudy,Reckless driving,1,2,0,Male,62,Yes,Yes,422439,9.536424904,80.24512521
TN-2023-00121,21-06-2023,Tirunelveli,Location_83,18:23,Two Wheeler,NH,Sunny,Brake failure,1,2,0,Male,49,Yes,No,322096,11.14204909,79.68231075
TN-2023-00122,26-12-2023,Vellore,Location_54,14:40,Car,Rural Road,Rain,Reckless driving,4,3,0,Male,31,No,No,456349,12.09925193,76.55162262
TN-2023-00123,02-08-2023,Vellore,Location_61,09:22,Two Wheeler,NH,Sunny,Brake failure,5,0,0,Male,45,Yes,Yes,79211,9.382742889,79.60860603
TN-2023-00124,04-02-2023,Tiruppur,Location_8,19:51,Two Wheeler,Urban Street,Fog,Reckless driving,1,2,0,Male,42,Yes,Yes,462129,10.88268117,79.26876895
TN-2023-00125,15-08-2023,Tirunelveli,Location_3,03:37,Auto Rickshaw,Urban Street,Sunny,Weather,2,0,0,Male,45,Yes,Yes,314387,9.82949594,77.48228696
TN-2023-00126,11-04-2023,Salem,Location_25,03:04,Car,NH,Sunny,Weather,2,1,0,Male,32,Yes,Yes,377024,10.64531029,79.10320809
TN-2023-00127,11-05-2023,Chennai,Location_69,08:43,Auto Rickshaw,SH,Rain,Reckless driving,3,1,0,Female,63,No,Yes,329052,8.887204526,79.71649252
TN-2023-00128,14-09-2023,Thoothukudi,Location_55,22:39,Two Wheeler,Urban Street,Sunny,Drunk drive,5,3,0,Female,61,Yes,Yes,15759,10.80565054,77.31139859
TN-2023-00129,05-01-2023,Tirunelveli,Location_40,20:36,Two Wheeler,Rural Road,Cloudy,Over speed,2,0,0,Male,39,Yes,Yes,32803,8.260408515,79.91063174
TN-2023-00130,06-08-2023,Coimbatore,Location_83,10:54,Truck,SH,Clear,Reckless driving,4,0,0,Male,64,Yes,Yes,93888,12.61998534,76.35466473
TN-2023-00131,12-09-2023,Erode,Location_82,10:12,Car,NH,Fog,Poor road,5,2,0,Male,23,Yes,No,284732,11.45212806,78.37354504
TN-2023-00132,25-12-2023,Coimbatore,Location_50,13:07,Car,SH,Rain,Over speed,2,0,0,Male,19,Yes,Yes,119389,13.17819737,77.04948845
TN-2023-00133,10-10-2023,Chennai,Location_95,17:50,Car,SH,Sunny,Reckless driving,1,0,0,Male,23,Yes,No,381819,11.29852553,79.27604723
TN-2023-00134,26-07-2023,Tirunelveli,Location_33,11:43,Two Wheeler,SH,Sunny,Brake failure,5,2,0,Male,40,No,Yes,226135,9.001913463,76.78689696
TN-2023-00135,15-01-2023,Coimbatore,Location_18,17:09,Bus,SH,Sunny,Poor road,2,3,0,Male,43,No,Yes,148563,10.66227918,77.53654205
TN-2023-00136,12-12-2023,Coimbatore,Location_57,06:49,Two Wheeler,NH,Fog,Drunk drive,1,2,1,Male,28,Yes,Yes,124536,11.65582485,76.57323591
TN-2023-00137,11-02-2023,Salem,Location_16,11:13,Car,NH,Clear,Over speed,3,1,0,Male,18,Yes,Yes,127384,10.05822838,79.65361633
TN-2023-00138,28-06-2023,Salem,Location_80,14:15,Car,Urban Street,Cloudy,Over speed,5,0,0,Male,45,Yes,Yes,477340,11.03957324,76.59523653
TN-2023-00139,04-03-2023,Tirunelveli,Location_38,01:29,Auto Rickshaw,Urban Street,Cloudy,Poor road,5,0,0,Male,39,Yes,Yes,341434,8.894786811,79.25418223
TN-2023-00140,18-12-2023,Chennai,Location_41,17:30,Car,Rural Road,Rain,Drunk drive,2,3,0,Female,58,Yes,Yes,405262,12.27418287,79.18253598
TN-2023-00141,19-08-2023,Vellore,Location_7,11:47,Two Wheeler,Rural Road,Clear,Reckless driving,3,1,0,Male,30,Yes,Yes,90948,13.00241483,76.64065774
TN-2023-00142,29-08-2023,Madurai,Location_78,12:19,Car,Urban Street,Clear,Drunk drive,4,0,0,Male,58,Yes,Yes,101979,9.73182118,78.54722984
TN-2023-00143,21-02-2023,Trichy,Location_53,16:49,Two Wheeler,Urban Street,Fog,Reckless driving,2,2,0,Male,64,No,Yes,8043,12.36332264,78.23595693
TN-2023-00144,06-04-2023,Thoothukudi,Location_63,02:22,Two Wheeler,SH,Sunny,Over speed,2,0,0,Male,53,Yes,Yes,442235,8.505700397,78.67527056
TN-2023-00145,10-08-2023,Trichy,Location_89,09:32,Two Wheeler,Urban Street,Clear,Reckless driving,4,3,0,Male,39,Yes,Yes,377277,9.356874696,80.21752435
TN-2023-00146,19-08-2023,Tiruppur,Location_32,05:34,Car,Rural Road,Sunny,Over speed,4,2,0,Male,21,Yes,Yes,427312,10.54028537,76.3624166
TN-2023-00147,25-08-2023,Salem,Location_38,18:35,Two Wheeler,Urban Street,Fog,Weather,4,0,0,Male,61,Yes,Yes,350915,10.12523918,79.69226679
TN-2023-00148,23-05-2023,Tirunelveli,Location_22,19:54,Car,SH,Rain,Poor road,4,3,0,Male,58,No,Yes,473523,11.40794182,79.87948358
TN-2023-00149,20-06-2023,Trichy,Location_16,02:07,Truck,Rural Road,Rain,Drunk drive,4,1,0,Male,35,Yes,Yes,317652,11.09641748,76.56823341
TN-2023-00150,29-01-2023,Chennai,Location_52,07:58,Bus,NH,Sunny,Brake failure,1,2,0,Male,55,Yes,Yes,275056,8.479995918,78.95247762
TN-2023-00151,05-02-2023,Thoothukudi,Location_29,06:01,Two Wheeler,Urban Street,Sunny,Poor road,1,2,0,Female,34,Yes,No,167844,8.724319232,79.15955417
TN-2023-00152,13-01-2023,Trichy,Location_16,20:05,Two Wheeler,NH,Clear,Reckless driving,4,1,1,Male,42,Yes,Yes,297522,8.28441395,78.46899827
TN-2023-00153,09-06-2023,Thoothukudi,Location_76,15:41,Bus,Rural Road,Fog,Weather,3,2,0,Female,34,Yes,Yes,16172,13.23933694,78.26318481
TN-2023-00154,23-11-2023,Erode,Location_17,03:31,Auto Rickshaw,Urban Street,Rain,Poor road,3,3,0,Male,46,Yes,Yes,394180,11.54939334,77.43018292
TN-2023-00155,06-07-2023,Chennai,Location_64,12:41,Two Wheeler,NH,Clear,Over speed,4,1,0,Male,62,Yes,Yes,271170,12.70571417,79.10086714
TN-2023-00156,31-08-2023,Madurai,Location_91,20:45,Lorry,Urban Street,Cloudy,Poor road,1,0,1,Male,61,No,Yes,491460,10.97695135,77.28495996
TN-2023-00157,27-03-2023,Coimbatore,Location_89,08:10,Car,NH,Clear,Reckless driving,3,3,1,Male,63,Yes,Yes,423631,9.06611003,78.07010434
TN-2023-00158,11-10-2023,Thoothukudi,Location_13,22:49,Car,NH,Sunny,Poor road,1,1,0,Male,25,Yes,Yes,153499,11.44630484,79.85816125
TN-2023-00159,07-03-2023,Chennai,Location_72,10:48,Truck,Rural Road,Cloudy,Poor road,2,0,0,Female,46,Yes,Yes,321331,10.77936412,76.40293006
TN-2023-00160,19-06-2023,Thoothukudi,Location_56,01:02,Bus,Urban Street,Clear,Reckless driving,1,3,0,Male,32,No,Yes,164799,10.24505785,78.37766616
TN-2023-00161,14-02-2023,Thoothukudi,Location_5,10:49,Auto Rickshaw,NH,Fog,Brake failure,4,3,2,Male,58,No,Yes,120375,10.04492905,78.18733327
TN-2023-00162,03-03-2023,Vellore,Location_12,02:57,Two Wheeler,Urban Street,Rain,Weather,5,2,0,Male,50,Yes,Yes,174289,11.57542086,77.70316629
